Date,Phase
1/1/2012  6:15:00 AM UTC,First Quarter
1/9/2012  7:30:00 AM UTC,Full Moon
1/16/2012  9:08:00 AM UTC,Last Quarter
1/23/2012  7:39:00 AM UTC,New Moon
1/31/12 4:10 AM UTC,First Quarter
2/7/2012  9:54:00 PM UTC,Full Moon
2/14/12 17:04,Last Quarter
2/21/2012  10:35:00 PM UTC,New Moon
3/1/2012  1:21:00 AM UTC,First Quarter
3/8/2012  9:39:00 AM UTC,Full Moon
3/15/2012  1:25:00 AM UTC,Last Quarter
3/22/2012  2:37:00 PM UTC,New Moon
3/30/2012  7:41:00 PM UTC,First Quarter
4/6/2012  7:19:00 PM UTC,Full Moon
4/13/2012  10:50:00 AM UTC,Last Quarter
4/21/2012  7:18:00 AM UTC,New Moon
4/29/2012  9:57:00 AM UTC,First Quarter
5/6/2012  3:35:00 AM UTC,Full Moon
5/12/2012  9:47:00 PM UTC,Last Quarter
5/20/2012  11:47:00 PM UTC,New Moon
5/28/2012  8:16:00 PM UTC,First Quarter
6/4/2012  11:12:00 AM UTC,Full Moon
6/11/2012  10:41:00 AM UTC,Last Quarter
6/19/2012  3:02:00 PM UTC,New Moon
6/27/2012  3:30:00 AM UTC,First Quarter
7/3/2012  6:52:00 PM UTC,Full Moon
7/11/2012  1:48:00 AM UTC,Last Quarter
7/19/2012  4:24:00 AM UTC,New Moon
7/26/2012  8:56 AM UTC,First Quarter
8/2/2012  3:27 AM UTC,Full Moon
8/9/2012  6:55 PM UTC,Last Quarter
8/17/2012  3:54:00 PM UTC,New Moon
8/24/2012  1:54:00 PM UTC,First Quarter
8/31/2012  1:58:00 PM UTC,Full Moon
9/8/2012  1:15:00 PM UTC,Last Quarter
9/16/2012  2:11:00 AM UTC,New Moon
9/22/2012  7:41:00 PM UTC,First Quarter
9/30/2012  3:19:00 AM UTC,Full Moon
10/8/2012  7:33:00 AM UTC,Last Quarter
10/15/2012  12:02:00 PM UTC,New Moon
10/22/2012  3:32:00 AM UTC,First Quarter
10/29/2012  7:49:00 PM UTC,Full Moon
11/7/2012  12:36:00 AM UTC,Last Quarter
11/13/2012  10:08:00 PM UTC,New Moon
11/20/2012  2:31:00 PM UTC,First Quarter
11/28/2012  2:46:00 PM UTC,Full Moon
12/6/2012  3:31:00 PM UTC,Last Quarter
12/13/2012  8:42:00 AM UTC,New Moon
12/20/2012  5:19:00 AM UTC,First Quarter
12/28/2012  10:21:00 AM UTC,Full Moon
